Cabinet Member,2020 - Present Cabinet Role,Primary (Incomplete),Secondary,Tertiary,Bachelor's Degree,Master's Degree,Doctorate Degree,All Degrees,Subject of Study (Verbatim),Subject (Category),Number of Degrees,Uni Countries,Scholarships Received (Incomplete),Source,,,,,,,,,,,,,,
Gan Siow Huang,Minister of State: Education; Manpower,,Raffles Girls' School,Victoria Junior College,London School of Economics and Political Science (Economics),Massachusetts Institute of Technology (Business Administration),,London School of Economics and Political Science (Economics)Massachusetts Institute of Technology (Business Administration),"Economics, Business Administration","Economics, Business Administration",2,"UK, US",Singapore Armed Forces Merit Scholarship,https://www.parliament.gov.sg/docs/default-source/default-document-library/gsh-cv-aug-2020eead28dbcb5f64e2b198ff00006af031.pdf; https://www.straitstimes.com/politics/first-woman-general-ex-colonel-face-off-from-protecting-country-to-serving-its-citizens; https://www.swhf.sg/profiles/gan-siow-huang/; https://goodyfeed.com/10-facts-gan-siow-huang/,,,,,,,,,,,,,,
Alvin Tan,"Minister of State: Culture, Community & Youth; Trade & Industry",,UNKNOWN,Anglo-Chinese Junior College,University of Sydney (Economics),Harvard University (Public Policy),,University of Sydney (Economics)Harvard University (Public Policy),"Economics, Public Policy","Economics, Public Policy / Public Administration",2,"AU, US",,https://www.linkedin.com/in/alvinshtan/,,,,,,,,,,,,,,
Desmond Tan,Minister of State: Home Affairs; Sustainability & the Environment,,Queenstown Secondary Technical School,Raffles Junior College,University of Manchester (Aeronautical Engineering),Nanyang Technological University (Business Administration); King's College London (Defence Strategic Studies),,University of Manchester (Aeronautical Engineering)Nanyang Technological University (Business Administration); King's College London (Defence Strategic Studies),"Aeronautical Engineering, Business Administration, Defence Strategic Studies",Engineering; Business Administration; Strategic Studies,3,"UK, SG",Singapore Armed Forces Merit Scholarship,https://www.linkedin.com/in/desmond-tan-b249898/; https://www.straitstimes.com/politics/singapore-ge2020-profiles-of-new-candidates-of-various-parties,,,,,,,,,,,,,,
Tan Kiat How,Minister of State: Prime Minister's Office; National Development,,UNKNOWN,Hwa Chong Institution,University of Illinois at Urbana-Champaign (Computer Engineering); University of Illinois at Urbana-Champaign (Economics),"Stanford University (Management), Harvard University (Public Administration)",,"University of Illinois at Urbana-Champaign (Computer Engineering); University of Illinois at Urbana-Champaign (Economics)Stanford University (Management), Harvard University (Public Administration)","Computer Engineering, Economics, Management Science and Engineering, Public Administration",Computer Science; Engineering; Economics; Management Science; Public Administration,4,US,,https://www.asiaone.com/singapore/high-flying-new-face-imda-ceo-tipped-paps-pick-east-coast-grc,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
